number,Ibani,English
0,dawọ́,learn
1,Pughu sị dawọ,Listen and learn.
2,Wa nye dawọ-arị,We are learning something.
3,Bịa ene wa nye dawọm,We learnt yesterday.
4,dáwọ́,dream
5,A dawọ kọm,I had a dream.
6,Ị tegosi dawọ kọ-arị?,Why are you dreaming?
7,dẹrị́,sell
8,dẹrị́,betray
9,Ị te dẹrị-arị?,What are you selling?
10,A dẹrị-arị nye ofori,I'm not selling anything.
11,A nye dẹrịgha ,I'm not selling anything.
12,dẹrị́,laugh
13,Ị tegosi dẹrị-arị?,Why are you laughing?
14,A ịdẹrịgha,I am not laughing at you 
15,A ịdẹrịgha,I didn't laugh at you.
16,dié,teach
17,A nye pa n'die-arị,I am teaching them something.
18,Paịsịsị ị ine nye pa wa die ḅẹ?,Please can you teach us something?
19,die,to share
20,"Paịsịsị, fịnye ma die n'pịrị",Please share the food for them.
21,Ịkịka ma die n'pịrị nnị ogbobie,Share the biscuits among them.
22,dié,show
23,Ḅo A nye pa ịdie,Come let me show you something.
24,Paịsịsị pa ọ die anị fịnị nga,Please show him where it is.
25,dighí,look at
26,Anị nye ma dighi,Look at that thing.
27,Ịye godiri ma dighi,Look at my reader.
28,díghí,"rope, cord"
29,Dighi ma fima anị ḅụọ ḅụ,Loose the rope from its leg.
30,Dighi ma ọ ḅụọ ọlọ-arị,The rope is holding his leg.
31,díghī,carry
32,Mu ẹfẹrẹ ma dighi,Go and carry the plates.
33,Akpa ma dighi warị ma sọ,Carry the bag into the house.
34,dii,be calm 
35,Ọmini ọḅụ dii ma,You people should stay calm.
36,Mienga tegosi dii fịnị?,Why is this place calm?
37,díí,night
38,Mie dii A ịwarị ḅo ḅẹm,I will come to your house this night.
39,Ọḅụda,Go back
40,Ịye akpa ma sii,Put away your bags
42,Akpa ma pa nni nye pa warịwarị nga warị,Keep the bags on the shelf
44,Igbe ma koroma,Drop that box
46,Ị pa munomuno bite ma pagha ma ḅo,Bring out your sleeping clothes
48,Mu muno,Go to bed
50,Ḅụpọ ma gbẹẹ,Close the door
52,Wẹndẹrẹ ma fịndị,Open the windows
53,fọrụ ḅụpọ ma fịndị,Open the windows
54,Kpọrọfịnị,Sit down
56,Ịye sundu ma pagha ma ḅo,Take out your brooms
58,Kiri ma ọfị,Sweep the floor
60,Kiri ma mie sị anị fịafịa,Keep the floor clean
62,Kiri ma fịafịa ma,Keep the floor clean
63,Kiri ma warị fịafịa ma,Keep the floor clean
64,dịa,arrow
65,Nnị dịa pa wa tẹarị,They're shooting arrows at us.
66,Dịa ma pa n'tẹ,Shoot the arrow at them.
67,dị́a,trap
68,Dịa tuu tụḅara pịrị,Set a trap for the antelope.
69,Dịa ma tụbara kuu mam,The trap has caught an antelope.
70,duú,hare
71,Duu ma mangị-arị,The hare is running.
72,Duu ma kuu,Catch the hare.
73,dúu,inheritance
74,O'daa duu warịso ọpịrịm,His father left an inheritance for him.
75,Mie ịye duu,This is my inheritance.
76,dụ́á,"corpse, ghost"
77,Obiri ma dụa anịnga imim,The dog's corpse is there.
78,Nnị ori dụa pa ama ḅo bẹm mimgba ene,They will bring his corpse to town today.
79,dụa,farm
80,A dụa nyanam,I have a farm.
81,Mie dụa-dịpị saa biri,This is farming time.
82,dụ́wā,follow
83,Á ịduwa fẹ mu ḅẹ ḅaa-ene,She will go with me to the market tomorrow.
84,Mịnị anị ḅọ ḅe dụa ma,Do not follow that man again.
85,dụ́á dípí,bury the dead
86,Nnị dụa-dịpị mum,They went for burial.
87,Nnị nna Alaḅọ dụa dịpị bẹm je kụra,They will bury their chief's corpse next year.
88,dụa dipí,farm; plant
89,A dụa dịpị dịpịm,She does farming.
90,O dụa dịpị dịm,He knows how to farm.
91,Mu ḅuru ma dịpị ọkọm,Go and plant the yam for me.
92,Fịnyẹ na Nyẹ-fị na,Food and To Eat Something
93,Fịnye,Food
94,Fị,Eat
95,Nyẹ Fị,Eat something
96,A nyẹ fịarị,I am eating (something).
97,Ị tẹ fịarị?,What are you eating?
98,A ḅuru fịarị,I am eating yam.
99,A ọrọsị fịarị,I am eating rice.
100,A fọọ buru fịarị,I am eating roasted yam.
101,A akịdị fịarị,I am eating beans.
102,Ị nyẹ-fị bẹ?,Will you eat?
103,A nyefị bịgha,I will not eat.
104,A nyẹ-fị dọụgha,I don't want to eat.
105,O nyẹ-fị dọụgha,He doesn't want to eat.
106,Á nyẹ-fị bịgha, she will not eat.
107,Na á nyẹ-fịgha,She has not eaten.
108,Fịnye ịtarịarị,I'm hungry (for food).
109,ḅuru ịtarịarị,I'm hungry (for food).
110,Ị tẹ (nyẹ) fị dọghụ?,What do you want to eat?
111,A ḅuru na ọḅa fụlọ na fị dọghụm,I want to eat yam and pepper soup.
112,Mu ịye fịnye dighi akị,Go and carry your food.
113,A ịye fịnyẹ dighi akị mam,I have carried my food.
114,Fịnyẹ ma Angịmam,Food Quality and Status
115,Fịnyẹ má  ịngịmam,The food has soured.
116,Fịnyẹ má angịmam,The food has soured.
117,Nji má ḅụrụmam,The fish is rotten.
118,Fịnyẹ má opu ịkasị ọ́gọ́nọ́ ḅụ imim,The food is on the table.
119,Obiri fị́nyẹ ma ịkasị suu imim,The dog's food is under the table.
120,I tẹ fịnyẹ fịarị?,What type of food are you eating?
121,A ọbịọ fịnyẹ fịarị,I am eating rice.
122,A pírī ọrọsị fịarị,I am eating pottage rice.
123,Ḅo fịnyẹ ma sọọ,Come and cook the food.
124,I ine fịnyẹ sọ bẹ?,Can you cook?
125,"Iiin, A ine fịnyẹ sọ bẹm","Yes, I can cook."
126,Fịnye ma bịa mam,The food is cooked (done).
127,Fịnye ma na bịagha,The food is not cooked (not done).
128,Mie ọrụḅọ ma fịnye sọọ-arị arị ḅurusu bie,This woman is cooking in her kitchen.
129,Fịnyẹ Sọọ na Nyẹ-fị,Cooking and Serving Food
130,Ị fịnye ma sọọ ma?,Have you cooked the food?
131,"A pa anị sọọ-arị, na A miesogha","I'm still cooking it, I'm not done yet."
132,Fịnye ma (anị) wa laa bẹ?,Will the food be enough for us?
133,"Ịịn, anị wa laa ḅẹm","Yes, it will be enough for us."
134,"Ofori o, anị wa laa bịgha","No, it will not be enough for us."
135,Fịnye ma (anị) ọ laa ma?,Has the food reached you? (Is it enough for you?)
136,"Ịịn, anị wa laa mam","Yes, it has reached us."
137,"Ofori o, anị na wa laagha","No, it has not reached us."
138,Nnị fịnye ma fị bịgha?,Won't they eat the food?
139,N'fịnye ma fị ḅẹm,They will eat the food.
140,"N'pa kuruari, n'fịnye ma fị dọghụm",They are still waiting; they want to eat the food.
141,Alala mie sị mu fịnye ma pa n'pịrị,Hurry up and go give them the food.
142,Dagogo ịye fịnye ma akị mam,Dagogo has taken my food.
143,Orị ḅurusu ma bie anị fịarị,He is eating it in the kitchen.
144,Epele,Lies
145,Mie owutụwọ ma ọ epele titi ḅọ,This man is a liar.
146,Ị tegosi epele ti-arị?,Why are you being deceitful?
147,Ẹpẹlẹ́,Compound
148,Ẹpẹlẹ́,Yard
149,Mie wamịna ẹpẹlẹ,This is our courtyard.
150,Wamịna ẹpẹlẹ dụḅam,Our compound is large.
151,Ẹpẹlẹ́,Draughts (Game)
152,Nnị ẹpẹlẹ tịarị,They are playing draughts.
153,Ị ẹpẹlẹ ti ḅẹ?,Will you play draughts?
154,A ẹpẹlẹ ti ḅẹlẹmagha,I don't like playing draughts.
155,Ẹ́gẹ́rẹ́,Speak
156,Ẹ́gẹ́rẹ́,Talk
157,"Ịnangụọ, ḅo wa ẹgẹrẹ","My friend, come let's talk."
158,Wa pa ẹgẹrẹ-arị,We are still talking.
159,A ọnana ẹgẹrẹ bẹm,I will talk with him.
160,A n'dụwa ẹgẹrẹ bẹm,I will talk with them.
161,Orị opu ẹgẹrẹ kọ dim,He knows how to talk big (exaggeration).
162,Ẹ́GẸ́RẸ́,Word 
163,Ịnumboru owutụwọ ịye ẹgẹrẹ ma ḅụdam,"My brother, your words are difficult."
164,Paịsịsị mie ẹgẹrẹ ma daa-dugho,Please interpret your statement.
165,Ẹ̀rẹ̀,Name
166,Ịye ẹrẹ ọ tẹnye?,What is your name?
167,Ịye ẹrẹ ọ Daḅẹlẹma,My name is Dabelema.
168,Ẹ́rẹ̄,Female
169,Ẹrẹ-apụ ma n'tenga imi?,Where are the ladies?
170,"Ama na ẹrẹ na, ọḅoma","Gentlemen and ladies, you are welcome."
171,Ẹrẹ,Left
172,Mie ịye ẹrẹ ḅara,This is my left hand.
173,Ịye ẹrẹ ḅụọ ma ịḅaa-arị,My left leg is paining me.
174,Farị,Sharpen (Knife or Razor)
175,Mu kịngị ma farị anịnga,Go and sharpen the knife there.
176,Nnị kịngị ma farị mam,They have sharpened the knife.
177,Farị,Sound or Beat by Drum or Hand)
178,Akwa ma farị,Beat the drum.
179,Ịtegosi akwa ma farị-arị?,Why are you beating the drum?
180,Kanyiḅo,Comprehension
181,Akanya,Comprehension
182,Obiri wa nana warịbie nga ngam,A dog lives with us at home.
183,Obiri tẹ sọnyẹ nyana wa pịrị?,Of what use is a dog to us?
184,Obiri furu-apụ dẹ pághámaá pághámaám,A dog keeps thieves away.
185,Obiri tegosi ikere ikere furu apụ pịrị pịrị?,Why does a dog bark at thieves?
186,Furu-apụ ọ wamịna irouna-apụ gosi,It is because thieves are our enemies.
187,Nnị wamina nyẹlaa nye furu furum,They steal our valuable things.
188,Furu-apụ ibi apụgha,Thieves are not good people.
189,Obiri sọ ibi namatẹbọ,A dog is also a good hunter.
190,Anị kala nama ba bam sị wa pẹẹ,It kills small animals for us to eat.
191,fíní,bird
192,feni,bird
193,fini ma fii-arị,The bird is flying.
194,Ọ tụwọ fini ma ḅaa?,Who killed the bird?
195,fịnị,fire
196,Fịnị ma bima,Quench the fire.
197,Ọ tụwọ fịnị ma bịma?,Who quenched the fire?
198,Fịnị ma tọndị,Light the fire.
199,fịnị́,stay
200,Mu anịnga fịnị,Go and stay there.
201,Ị tẹnga fịnị-arị?,Where are you staying?
202,Ọ,him
203,Nye ma pa ọpịrị,Give the thing to him.
204,Ọ dighi pa warị mu,Carry him to the house.
205,Ọ́,you people
206,Ọ tẹnga muarị,Where are you people going to?
207,Ịda ḅẹm sị,My father said
208,Ịda ḅẹm ḅẹ,My father said
209,A ịru pa ọ́pịrị,I should give you people a drink.
210,Ọ,it
211,Ọ,is
212,Ọ,it is
213,Ịye ẹrẹ ọ Ibifụḅara,My name is Ibifubara.
214,Ọ tụwọ anịnga imi?,Who is it that is there?
215,Firi,leak
216,Gangas ma firi-arị,The drum is leaking.
217,Warị ma osu ẹfẹrẹ firi-arị,The house roofing sheet is leaking.
218,Fịrị,work
219,A fịrị wangị-arị,I'm working.
220,Ị fịrị mu ḅẹ?,Will you go to work?
221,"Ịịn, A fịrị mu ḅẹm","Yes, I will go to work."
222,"Ofori o, mịngba ene A fịrị mu ḅịgha","No, I will not go to work today."
223,Fịrịmaa,send message
224,A mu oku fịrịma ọpịrịm,I went to drop a message for him.
225,A mu ḅịpị fịrịma ọpịrịm,I went to drop a message for him.
226,Ị mu fịrị fịrịma?,Did you go and send a message?
227,Ị mu oku fịrịma?,Did you go and send a message?
228,gbẹẹ,close
229,Mu igbe ma gbẹẹ,Go and close the box.
230,Ị tegosi bụpọ ma gbẹẹ?,Why did you close the door?
231,gbẹẹ,pay
232,Ḅo ịye igbi ma pa ịgbẹẹ,Come and pay me my money.
233,Mu I' saa pa ọlọarị ọrụḅọ ma gbẹẹ,Go and pay the woman you're owing a debt.
234,Ị saa pa ọlọ ọrụḅọ ma mu arị igbi pa a'gbẹẹ,Go and pay the woman you are owing money.
235,gbẹẹ,grind
236,Ị sani fẹ ḅo saa,When you buy the pepper
237,pa n'pịrị sị n'gbẹẹ,give it to them to grind.
238,Ị te gbẹẹ-arị?,What are you grinding?
239,A sanị gbẹẹ-arị,I am grinding pepper.
240,gbii,sow
241,Ḅo A ịye-bite gbii,Come let me sow your dress.
242,Barana ịye-bite gbịị,Sow your clothes by yourself.
243,gbii,to throw
244,mgbolu ma pa n'gbii,Throw the stone at them.
245,Ị tegosi mgbọlụ pa n'gbii?,Why did you throw the stone at them?
246,Mịnị mgbọlụ pa fẹ-sịrị gbii ma,Stop throwing stones at the market.
247,dọghụ,look for
248,dọghụ,sought for
249,Ị te dọghụ-arị?,What are you looking for?
250,A ịye bite dọghụ-arị,I'm looking for my clothes.
251,dọghụ,want
252,A warị mu dọghụm,I want to go home.
253,A wamịna ama ẹgẹrẹ fie dọghụm,I want to speak our language.
254,dọghụ́,drive
255,dọghụ́,to paddle
256,Kiri arụ ma dọghụ tẹlẹma,Drive the car very well.
257,Ị kiri arụ ma dọghụ digha,You don't know how to drive the car.
258,A iye arụ ma dọghụarị,I am paddling my boat.
259,dọ́ghụ̄,burn
260,Warị ma dọghụ-arï,The house is burning.
261,Kiri-arụ ma dọghụm bịa dii,The car burnt last night.
262,ẹlẹlẹndẹ,orange
263,Mu ẹlẹlẹndẹ fẹ ḅo ịpịrị,Go and buy orange for me.
264,Mie ẹlẹlẹndẹ ḅẹlẹgha,This orange is not sweet.
265,ẹlẹlẹndẹ,green
266,A ẹlẹlẹndẹ tọrụ bite sua-ari,I'm wearing a green dress.
267,Ị ẹlẹlẹndẹ tọrụ agba pa wari ma tabem,You should paint the house with green paint.
268,faa,finished
269,Ịye fịnye ma faa mam,My food has finished.
270,Ọmịnà fịnye ṣọ faa ma?,Has your (plural+B280) food finished too?
271,faa,loss
272,Wamịna ama ẹgẹrẹ fafagha,Our language is never lost.
273,Wamịna ama ẹgẹrẹ ine fabịgha,Our language cannot be lost.
285,Sẹnịḅọ Daḅẹlẹma na o warị-apụ gbolomanye,The Family of Senibo Dabelema
286,Mie sẹnịbo Daḅẹlẹma warịapụ,Here is the family of Senibo Dabelema.
287,"Ị inẹ sẹnịḅọ Daḅẹlẹma, o taa na nna awọ na arị ḅẹm","You can see Senibo Dabelema, his wife and their children."
288,Awọ ma ọ tere apụ,The children are three.
289,Nnị ọ mmẹ kala-asa-awọ na gbere ọrụḅọtụwọ na,They are two boys and one girl.
290,Kala-asa-awọ ma ọ Ịpalịḅọ na Ịyala na,The boys are Ipalibo and Iyala.
291,Ọrụḅọtụwọ ma ọ Bieḅẹlẹ,The girl is Biebele.
292,Awọ ma na n'yii-apụ na dẹdẹfịnye fịarị,The children and their parents are taking their breakfast.
293,Nnị sọnọ apụ ma saa mamgba nyẹfị gboloma gbolomam,The five of them always eat together.
294,N'tẹ fịnye fị-arị?,What food are they taking?
295,Nnị fituru na nama ḅẹlẹkị na ọfịrị-mịngị akịarị,They are taking bread and butter with tea.
296,"Ọfịrị-mịngị ma omongo (ma) bie imim, anị ọfịrịm",The tea is in a jar and it is hot.
297,Anị ibigha ịkpoma gaga ofịrị-mịngị ḅu,It is not safe to drink very hot tea.
298,Nji na mịngị,A fish and water
299,Ogbo nji ine bile-faa bigha,A fish can't drown.
300,Kuma ani ine Bina-aru bile-faa bem pighi kini baa,But it can sink into water.
301,ḅó,come
302,mú,go
303,só,leave
304,ḅóarị,coming
305,múarị,going
306,sóarị,leaving
307,ḅóm,came
308,múm,went
309,sóm,left
310,ḅó mám,have come
311,mú mám,have gone
312,só mam,have left
313,ḅo ḅom,comes
314,mu mum,goes
315,so som,leaves
316,A ḅóarị,I am coming
317,A múarị,I am going
318,A sóarị,I am leaving
319,A ḅom biaene,I came yesterday
320,Baa-ene A ḅo ḅẹm,Tomorrow I will come
321,Enegbọrụ A ḅo ḅom,Every day I come
322,A mum pari,I went before
323,A mum tarisaa,I went before
324,Á ḅoarị,She is coming
325,O ḅoarị,He is coming
326,Wa ḅoarị,We are coming
327,Nni ḅoarị,They are coming
328,Anị- ḅoarị,It is coming
329,Á muarị,She is going
330,O muarị,He is going
331,Wa muari,We are going
332,Nni muari,They are going
333,Anị muarị,It is going
334,Á soarị,She is leaving
335,O soarị,He is leaving
336,Wa soarị,We are leaving
337,Nni soarị,They are leaving
338,Anị soarị,It is leaving
339,Ngẹẹ́,One
340,Mmẹẹ́,Two
341,Tẹ́rẹ́,Three
342,Íní,Four
343,Sọ́nọ́,Five
344,Sóníe,Six
345,Suene,Six
346,Sọ́nọ́ma,Seven
347,Íníne,Eight
348,Éséníé,Nine
349,Esiene,Nine
350,Óyí,Ten
351,Óyí ngẹẹ́ fíndí,Eleven
352,Oyi mmẹ fíndi,Twelve
353,Óyí tẹ́rẹ́ fíndí,Thirteen
354,Óyí iní fíndí,Fourteen
355,Jee,Fifteen
356,Íní fa sí,Sixteen
357,Tẹ́rẹ́ fa sí,Seventeen
358,Mmẹ́ fa sí,Eighteen
359,Ngẹẹ́ fa sí,Nineteen
360,Sí,Twenty
361,Sí ngẹẹ́ fíndí,Twenty-one
362,Sí mmẹ́ fíndí,Twenty-two
363,Sí tẹ́rẹ́ fíndí,Twenty-three
364,Sí iní fíndí,Twenty-four
365,Sí sọ́nọ́ fíndí,Twenty-five
366,Íní fa súé,Twenty-six
367,Tẹ́rẹ́ fa súé,Twenty-seven
368,Mmẹ́ fa súé,Twenty-eight
369,Ngẹẹ́ fa súé,Twenty-nine
370,Súé,Thirty
371,Sue ngẹẹ findi,Thirty-one
372,Sue mmẹ findi,Thirty-two
373,Sue tẹrẹ findi,Thirty-three
374,Sue ini fịndi,Thirty-four
375,Sue sọnọ findị,Thirty-five
376,Ini fa mmẹ-a-si,Thirty-six
377,Tẹrẹ fa mmẹ-a-si,Thirty-seven
378,Mmẹ fa mmẹ-a-si,Thirty-eight
379,Ngẹẹ fa mmẹ-a-si,Thirty-nine
380,Mmẹẹ-a-si,Forty
381,Owutụwọ ma,The man
382,Ọrụḅọ ma,The woman
383,Obiri ma,The dog
384,Oḅori ma,The goat
385,Warị ma,The house
386,Ịkasị ma,The chair
387,Warị-kiri ma,The floor
388,Bịtẹ ma,The cloth
389,Ḅẹlẹ ma,The pot
390,Akpa ma,The bag
391,Ịye daa,My father
392,Ịye yingi,My mother
393,Ịye awọ,My children
394,Ịye obiri,My dog
395,Ịye oḅori,My goat
396,Ịye ọbịọ,My chicken
397,Ịye ọbịọ,My fowl
398,Ịye diri,My book
399,Ịye akpa,My bag
400,Ịye ịkasị,My chair
401,Ịye agbagha,My shoe
402,Mie owutụwọ ma,This man
403,Mie ọrụḅọ ma,This woman
404,Mie obiri ma,This dog
405,Mie oḅori ma,This goat
406,Mie warị ma,This house
407,Mie ịkasị ma,This chair
408,Mie kiri ma,This floor
409,Mie bịtẹ ma,This cloth
410,Mie ḅẹlẹ ma,This pot
411,Mie akpa ma,This bag
412,Ị́ye daa,Your father
413,Ị́ye yingi,Your mother
414,Ị́ye awọ,Your children
415,Ị́ye obiri,Your dog
416,Ị́ye oḅori,Your goat
417,Ị́ye ọbịọ,Your chicken
418,Ị́ye ọbịọ,Your fowl
419,Ị́ye diri,Your book
420,Ị́ye akpa,Your bag
421,Ị́ye ịkasị,Your chair
422,Ị́ye agba,Your shoe
423,Si,suffer
424,Si-arị,suffering
425,Si-arịḅọ,One who suffers.
426,Si-arịḅọ fagha,One who is suffering doesn't lose.
427,Orubo ma toru-si ari-ari,The woman is suffering.
428,Ḅo ḅẹm,Future Tense (Will come)
429,A warị ḅo ḅẹm ḅaa,I will come to the house tomorrow.
430,A warị ḅo ḅẹm ḅa'ene,I will come to the house tomorrow.
