Word,Meaning
a,I
á,she
á,her
áa,exclamation
aba,forked
aba,hammerheaded
ábá,charm
abaji,sea
abaji,ocean
abalama,dance-group
abana,shoulder
ábára,wedge
abonía,bait worm
ábōnta,praying mantis
aḅaḅa,piggyback
áḅághá,cordage
áḅásịlárị,eel fish
aḅẹ,red mud
aḅẹẹ́,heron
abẹ́ẹ,clay mud
áḅị́ḅọ́,heir
áḅị́ḅọ́,inheritor
ada,owuogbo dance
áda,grandfather
áda,aged man
ádẹ́,cricket
adụḿ,ritual salt water
áfái,wicked
áfaláfa,jellyfish
áfárị́,sardine
áfị́náa,farina
áfọ́nọ,cowife
áfọ́nọ,mate
áfọ́nọnyé,resentment
ágā,canerope
agalá,draw
ágalága,awning
agara,bad result
ágárárá,leaves
agba,sacrifice
agbamienyé,offering
ágbā,pay a visit
ágbā,river bank
ágbā,paint
agbagha,shoe
agbagha,boot
agbará,red snapper
ágbárá,side
ágbọ,shield
ágbọ̄,exclamation
agbụgba,ribs
agbụgba,bamboo
agbụgba,disease
agịdị,cutlass
agịdị,matchet
ágị́rịrị́-kéngé,small sea crab
ájákárị́,not fine
ájákárị́,bad
ájákárị́,uglylooking
ájárị́,rust
ajijimáaji,whale
aka,diplomacy
aka,art
aka,thatch
áká,tooth
ákáị,exclamation of pain
akakọḅọ́,craftsman
akalụ́,moon
akalụ́,month
akalụ́-ḿbuló-ḿbuló,agama lizard
akama,bee
akamapulo,honey
akanị,carpentry
akanị,handicraft
akanịḅọ́,carpenter
akanyá,understanding
ákió,white man
ákió,fair-skinned
ákị́,take
ákị́,receive
álápụ́-ágị́dị,sword
álī,slender
álịláa,cichlid perch
íliláa,cichlid perch
alọ,white cloth
ama,male
amaḅárā,right-hand
amakugháa,not engaged
amakúu,engagement
ama-ọlọ,engagement
amaọlọgháa,not engaged
ámá,town
ámá,country
ámáḅẹ́rẹ́,national affairs
ámáḅẹ́rẹ́dūghóḅọ́,councillor
ámáḅọ́ọ,indigene
ámáḅọ́ọ,citizen
ámádá,reign
ámádáḅọ́,president
ámádáḅọ́,district head
ámádákíri,kingdom
ámádású,crown
ámádíghítórụ́sī,amnesty
ámáẹ́gẹ́rẹ,language
ámáfọ́nyá,patriotism
ámáfọ́nyáḅọ́,patriot
ámágbọ́rụ́nyée,commonwealth
ámá-írókọḅọ,traitor
ámákórómáḅọ́,founder
ámákúrúḅọ́,policeman
ámákúrúḅọ́,woman
ámákúrúḅọ́,security
ámákúu,heart
ámákúu,centre
ámámíémíénye,tradition
ámámíénye,custom
ámánakóróḅọ́,aborigine
ámánẹ́ngíá,scorpion
ámányánáḅọ́,king
ámányánáḅọ́ wárị,palace
ámányẹ̄,commonwealth
ámáókúmúḅọ́,ambassador
ámátáa,prostitute
ámátáḅọ́,leader
amangongó,earwax
amaye,cobra
ambílē,prince
ambị́lā,princess
ámbúrá,waves
ámbúrá,billows
amgba,jaw
amụá,yawn
ánáná,sheep
ánị́ná,sheep
ánánákúrúḅọ́,shepherd
ánánásíḅéḅọ́,shepherd
ángā,dwell
ángā,reside
ángāḅọ́,dweller
ángāḅọ́,inhabitant
ángāḅọ́,resident
ángāyọ́ọ,dwelling
anịgósị, because
anịngáa,there
anịsáa,then
anị́sọ̄,even
anị́sọ̄,yet
anị́sọ̄nị,even
anị́sọ̄nị,though
anịyọ́ọ,yonder
ánjị̄,eyebrow
ányá,make bed
ányá,decorate
anyị,egg
ányị́,capsicum
ányị́maá,snap
ányị́-ḿgbọ́lụ,coal
ányị́-ḿgbọ́lụ,charcoal
ányị́nyá,leaf
apalị,axe
apapá,groundnuts
ápárá,bark
ápárá,peel
ápárá,leather
ápárá,skin
apịká,salty
ápịrịgbánị,grasshopper
ápụ́sị́rị,brave leopard
arị,poison
arị,charm
arị,witchcraft
árị,she
árị,her
árị́,see
árị́,view
árị́,hook
arịaḅẹ́lẹ,clay
arịḅọ́,witch
árị́ dírí,rope
árụ́,canoe
árụ́ángá,side
árụ́ángá,gunwale
ákị́áḅalị,kingfisher
akị́dị,beans
akịẹ́,bitterkola
ákị́álālá,kingfisher
ákị́sị,headtie
ákị́sị,handkerchief
akótó,snuffbox
akpa,bag
akpa,pocket
ákpákpá,thickness
ákpákpá,thick
akpakpa fií, somersault
akpakuru,fufu
ala,salt
álá,wealth
alabirighá,measles
áláḅọ́,rich man
áláḅọ́,chief
alagba,masquerade
alágbā,gun
alalá,funnel
alịlá ,siphon
álála,hastily
álála,fast
álá-ḿgbára,sceptre
álá-ḿgbára,walkingstick
alapambá,bedbug
árụ́gbẹ́nyẹ,freight
árụ́-ígbū,fare
árụ́kụ́lọ́,prow
árụ́kụ́lọ́,bows
árụ́kụ́lọ́dáḅọ,captain
árụ́kụ́lọ́dáḅọ,chief
árụ́píghéḅị́tẹ,flag
bafíni,bird
bafíni,standardwing
ásá,youthful
ásá,young
ásá,teenaged
asáafọ́rụ́,fish
asáafọ́rụ́,guinean
ásámbárá,youthful
asamịna-alo,linen
ásátí,bluff
ásátụ́wọ,youth
ásátụ́wọ,young
asẹmẹ,royal
asẹmẹ-ama,kingdom
asẹmẹḅọ,king
asẹmẹḅọ,nobleman
asẹmẹfúro,royal family
asẹmẹtụwọ,noble
ásịlá,mudskipper
áchịlá,mudskipper
asọ,road
asọ,path
asọ,way
asọ iríi,get lost
asọ nwangị́, travel 
asọnwangịḅọ́,traveller
asọ-ogbóo,street
asọ-ogbóo,middle of street
ásụ,horse
ásụtụwọ,foal
ataḅala,tilapia
ataḅala,cichlid
átámgbá,drum
átáḿgbóló,mosquito
atara,sphagnum
atara,moss
atié,ten
Átíli,name
átíngi,greatgrandmother
atọ́nị,manilas
átụma,mud
Áwúsá,hausa
áwụ́,camwood
áwụ́-áwụ,red
áya,grandmother
áya,old woman
áyádédébie,dawn
áyálẹ́lẹ́,blossom
ayara,young plant
áyásáa,ancient
áyásáa,past
áyásághị,the beginning
áyō,onions
áyoró,swallow
áyoró,perhaps
baá,light
Tọntọdiri,bible
bagbo,Hypocrite
bálā,shad
bálā,nurture
báláláam,valuable
bálịlị,gunpowder
bánábáná,often
beghebeghe,not strong
beghebeghe,soft
Ḅẹrẹfama,settlement
Ḅẹrẹfama,pardon
beghebeghe,shivering
beka,airconditioner
békéma,unaware
békéma,suddenly
béle,gospel
bíē,inside
bíē,interior
bíē,mind
bíē,opinion
bíéákụ̄,malice
bíéákụ̄,hatred
bíẹ́ḅẹlé,gladness
bíẹ́ḅẹlé,happiness
bíédīmáḅọ́,comforter
bíēfọ́ọ̄,selfcontrol
bíēfọ́ọ̄,patience
bíéfọ̄ghá,impatience
bíéfụ̄rụ́,annoyance
bíégbāná,fidelity
bíé-íkīrí,endurance
bíéju,inside
bíékīrí,bedroom
bíékōrómádíri,diary
bíélọ̄ọ́,softhearted
bíélọ̄ọ́,mild
bíémẹ́mẹ́,doubt
bíémẹ́mẹ́,doubtfulness
bíénụ̄nụ́,uneasiness
bíé-óḅū,anger
bíé-óḅū,wrath
bíé-óḅū,annoyance
bíé-óḅū,grief
bíéóḅūmányé,provocativeness
bíé-ọlọ̄,selfcontrol
bíé-ọlọ̄,patience
bíésií,sadness
bíésīmányé,irritation
bíétọ̄,desired
bií,greet
bií,ask
bií,request
bií,solicit
bií,beg
bií,wish
bií,want
bíí,be full
biíḅọ,european
biíḅuru,breadfruit
bíiná-ị́nyaụ,banana
biiná-ọ́bịọ,duck
biinyé,need
biinyé,want
biirii,dress gorgeously
bilé,dive
bilé,sink
bílíbílí,labour
bílíbílí,work
bílíbílíḅọ́,labourer
bílíbílíḅọ́,worker
bílíbílí,act
bílíbílí,toil
bílíbílí,travail
bílīlíí,blink
bímáa,extinguish
binyé,desire
biri,ear
birinụnụ́,warning
bírí,trunk
bírí,abdomen
bírī,bathe
bíríángā,district
bíríḅọ,someone
bíríḅọ,companion
biríkenge,centipede
birimabíri,middle
bịá,be ripe
bịá,shine
bịá,be bright
bịá,get cooked
bịá,collide
bịá,strike
bịá,yesterday
bịamá,collide
bịamá,meet with force
bịaḅọ,foreigner
bị́bị́,mouth
bị́bị́,front
bíẹ́,defecate
bịghá,conspire
bị́ghị,fall
bị́ghị,stumble
bịla,elephant
bịlatẹḅọ́,elephant hunter
bịlagbị́,stinging be
bị́rị́ḅọ́,doctor
bị́rị́wárị́,hospital
bịtẹ,cloth
bịtẹdorinyẹ́,loom
ókólóama,Bonny
bóā,be plenty
bóāgha,not plenty 
bóbō,fondle
bódoro,butter
Ḅọrọḅẹ,what if
Ḅọrọḅẹ,how about
bomá,praise
bọ́lị,bowl
bọ́lị,basin
buasịsaa,seldom
ḅá,kill
báápú,killers
ḅá,slaughter
ḅá,break
ḅá,shatter
ḅá,stain
ḅáāsó,dawn
ḅáḅā,goodnight
ḅáḅáḅọ́,one
ḅáḅáḅọ́,serial killer
ḅáḅáápú, serial killers
ḅáḅọ́,killer
ḅala,fishing
ḅalá,comb
ḅalá,brass
ḅáláḅálá,struggle
ḅáláfa,be afraid
ḅáláfaḅọ́,coward
ḅáláfaḅọ́,pusillanimous
ḅáláfámá,fearful
ḅáláfámá,frightening
ḅáláfámányẹ́,fearful thing
ḅálákūkú,wahlbergs eagle
ḅálólia,morning
ḅálōló,evening
ḅanyẹ́,catarrh
ḅápó,chin
ḅápúró,stammer
ḅápúróḅọ́,stammerer
ḅárā,hand
ḅárā,arm
ḅáradéghē,arm
ḅáradíghítụ̣́wọ,infant
ḅáradíghítụ̣́wọ,babe
ḅárāị́kārị,ankle
ḅárākọ́ngọ,wrist
ḅárákū,palm
ḅárámíme,fingernail
ḅáráọ́lōákị́sị,handkerchief
ḅáráọ́lọ́nyẹ́,handle
ḅárásāní,swinging
ḅárātúmgbọlụ,finger
ḅárātúmgbọlụ̣́sụanyẹ,ring
ḅárātúngu,elbow
ḅárā,way
ḅárābínghá,constantly
ḅárābínghá,often
ḅárápáyií,adoption
ḅárápị̄máḅọ́,petty trader
ḅárási,leave
ḅárási,acquit
ḅárási,acquittal
ḅárásụ̄ányẹ́,assitance
ḅárásụ̄ányẹ́,help
ḅárị́,add
ḅarimanyẹ́,help
ḅarimanyẹ́,assistance
ḅáụ́,hit
ḅáụ́,strike
ḅáụ́,knock
ḅáụ́,box
ḅáụ́ gbólómaá,weld
ḅé,that
ḅélémaá,divulge
ḅẹ,that
ḅẹẹ́,talk
ḅẹghẹ,abroad
ḅeke,abroad
ḅẹlẹ́,sweet
ḅẹlẹ́,tasty
ḅẹ́lẹ́,cookingpot
ḅẹ́lẹ́,tongue
ḅẹ́lẹ́kị́,fat
ḅẹ́lẹ́kị́sụ́á,fatty
ḅẹ́lẹ́kị́sụ́á,greasy
ḅẹlẹmá,love
ḅẹlẹmá,like
ḅẹlẹonúu,flavour
ḅẹ́lẹ́tẹ́lẹ́máḅọ́,pot repairer
ḅẹ́lẹ́tẹ́mẹ́ḅọ́,potter
ḅẹ́m,honey
ḅẹ́rẹ́,case
ḅẹ́rẹ́,affair
ḅẹ́rẹ́,matter
ḅẹ́rẹ́,dispute
ḅẹ́rẹ́ḅárásií,conviction
ḅẹ́rẹ́dọ́ghụ́ḅọ́,offender
ḅẹ́rẹ́fángálá,argument
ḅẹ́rẹ́ fọ́nyá,argue
ḅẹ́rẹ́fọ́nyá,argument
ḅẹ́rẹ́gbílá,inquiry
ḅẹ́rẹ́gbílá,investigation
ḅẹ́rẹ́gbíláḅọ́,investigator
ḅẹ́rẹ́kọ́,judgement
ḅẹ́rẹ́kọ́ḅọ́,judge
ḅẹ́rẹ́kọ́ḅọ́,magistrate
ḅẹ́rẹ́kọ́wárị,court
ḅẹ́rẹ́mị́ẹ́ḅọ́,litigious
ḅẹ́rẹ́mị́ẹ́ḅọ́,troublesome
ḅẹ́rẹ́náḅọ́,litigious
ḅẹ́rẹ́nụ́nụ́á,argument
ḅẹ́rẹ́pẹ́lẹ́ḅị́pị,decision
ḅẹ́rẹ́pẹ́lẹ́ḅọ́,arbitrator
ḅẹ́rẹ́tọ́ḅọ́,director
ḅẹ́rẹ́tọ́ḅọ́,governor
ḅẹ́rẹ́tọ́bárá,governance
ḅẹsá ḅẹsá,ever
ḅẹ́ ya,you fellow!
ḅị́lā,diarrhoea
ḅị́pị́,mouth
ḅị́pị́ḅẹ́lẹ,tongue
ḅị́pị́ḅẹ́lẹ́má,conversation
ḅị́pị́gbẹ́nyẹ,cover
ḅị́pị́gbẹ́nyẹ,lid
ḅị́pị́ júu,forward
ḅị́pị́ júu,infront
ḅị́pị́-ḿpára,lip
ḅị́pị́mú,progress
ḅị́pị́ógbosọ́ọ,agreement
ḅị́pị́ógbosọ́ọ,treaty
ḅị́pị́ókólo,tip
ḅị́pị́ókólo,peak
ḅị́pị́-ósí,obedience
ḅị́pị́-ósíghá,disobedience
ḅị́pị́pághara,lips
ḅị́pị́pị́rị́má,advance
ḅị́pị́ púghú,obey
ḅị́pị́púghú,obedience
ḅị́pị́púghúághá,disobedience
ḅó,come
ḅólō,stick fast
ḅólō,connect
ḅólō,embrace
ḅólō,paste
ḅorí,pillar
ḅorí,post
ḅorokírī,fishingpot
ḅorokírī,fishing
ḅọlọ́,be far
ḅọlọ́,distant
ḅọ́lọ̄,borrow
ḅọ́lọ̄,lend
ḅọlọjú,far
ḅọlọyọ́,far
ḅọọ́,hide
ḅọọ́,conceal
ḅọọmá,hide
ḅọ́ púló,honey
ḅọ́ró,fireplace
ḅọrọ́,dislocate
ḅọ́rọ́,move
ḅọ́rọ́,pass
ḅọ́rọ́,pass
ḅọrọmá,save
ḅọrọmá,rescue
ḅọ́rọ́ma,purlin
ḅọ́rọ́ma,escort
ḅọ́rọ́ma,lead
ḅọ́rọ́ma,accompany
ḅu,mangrove
ḅú,drink
ḅúló,tempest
bunábolu,Tiger Bittern 
ḅupiri,evening
ḅuru,yam
ḅurutarị,hunger
ḅurugbọḅalá,iron
ḅuru-ịmọọ́,fasting from food
ḅurusọyọ́,cooking
ḅúrúḅúrú,unclear
ḅúrúḅúrú,dim
ḅúrúmá,indigo
ḅúrúsū,kitchen
ḅụ́,body
ḅụ́,self
ḅụ́ákụ̄,pain
ḅụ́ ḅá,fret
ḅụ́ ḅá,worry
ḅụ́ḅẹ́lẹḅárá,voluntarily
ḅụ́ḅẹ́lẹḅárá,willingly
ḅụ́ḅẹ́nyẹ́,kind
ḅụ́ḅẹ́nyẹ́,pattern
ḅụ́ḅírímányẹ́,apparel
ḅụ́bómá,selfpraise
ḅụ́bómá,boasting
ḅụ́búbu,freshly
ḅụ́dá,difficult
ḅụdii,sorry
ḅụgbọnyi,loneliness
ḅụ́díé,vanity
ḅụ́fọ́nyá,selfdefence
bụ́fọ́nyáḅọ́,defendant
ḅụ́gbẹrẹpụ́,wonder
ḅụ́gbẹ́rẹ́púmányẹ́,wondrous
ḅụ́gbẹ́rẹ́púmányẹ́,miracle
ḅụ́gbẹ́gha,indecent
ḅụ́gbẹ́nyẹ́,fitting thing
ḅụ́gbọ́nyí,lonesome
ḅụ́gịrịrị́,shame
ḅụ́gị́rị́rị́mányẹ́,shameful
ḅụ́gị́rị́rị́mányẹ́,shameful thing
ḅụ́gị́rị́rị́mányẹ́,attitude
ḅụ́-íkú-óbíi,dropsy
ḅụ́keké,suffocation
ḅụ́nímíáówúu,assault
ḅụ́nímíḅọ́,selfaware
ḅụ́-ńjịrị́,sympathy
ḅụ́-ńjị́rị́mányẹ́,tragedy
ḅụ́nyáná,independence
ḅụ́nyáná,freedom
ḅụ́pị́ghị́arịḅọ,defendant
ḅụ́pụ́ámá,surprise
ḅụ́pụ́ámányé,astonishment
ḅụ́pụnụ́,sluggish
ḅụ́pụnụ́,indolent
ḅụ́pụnụ́,lazy
ḅụ́sághị́,pride
ḅụ́sminí,submissive
ḅụ́símínímá,submission
ḅụ́sụ́á,adventure
ḅụ́súáḅọ́,adventurer
ḅụ́súáḅọ́,venturer
ḅụ́tẹ́rẹ́má,humility
ḅụ́tẹ́rẹ́má,lowliness
ḅụ́tí,rejoicing
ḅụ́tí,gladness
ḅụ́tọ́,pride
ḅụ́ghụ́lọ́,board
ḅụ́ghụ́lọ́,embark
ḅụ́ghụ́lọ́,enter
ḅụ́ghụ́lọ́,ship
ḅụkọ,monkey
ḅụkọ-obíi,leprosy
ḅụkụmgbọ́,clitoris
ḅụlọlọ́,lie
ḅụ́ọ́,leg
ḅụ́ọ́,foot
ḅụ́ọ́-ẹ́lẹ́ghẹ,thigh
ḅụ́ọ́fúro,calf of leg
ḅụ́ọ́-ị́kárị,ankle
ḅụ́ọ́-ị́nyọ,instep
ḅụ́ọ́kọ́ngọ,ankle
ḅụ́ọ́kụ́ụ,sole
ḅụ́ọ́ḿgbọ́,leg
ḅụ́ọ́sị́bị,knee
ḅụ́ọ́túngu,heel
ḅụ́ọ́tụ́ḿgbọlụ,toes
ḅụ́pọ́,door
ḅụ́pọ́kúrúḅọ́,doorkeeper
ḅụ́pọ́kúrúḅọ́,porter
ḅụ́pọ́kúrúḅọ́,gateman
ḅụ́rọ́,slap
ḅụrụ́,be rotten
daa,father
daa,dad
daá,hold
daá,keep
daá,rafters
dáaḅa,fathers
daadáa,straight
daádighí,examination
daádighí,trial
daádighí,temptation
daádighiḅọ́,one
daádighiḅọ́,examiner
daádighinyé,thing for test
daáduoḅọ́,interpreter
daaduomá,interpretation
dághalá,torment
dághalá,torture
dagógo,fathers namesake
dálā,comb
dálā,scratch
damadámá,opposite
daterema,alight gently
dápá,pool
dápá,pond
dápábíe,lake
Dáppá,third son
dápị́rị́,stone
dápó,kolanut
dápúū,echo
dápúū,telephone
dárị́,boil
dárị́,bubble
dárị́,billow
darịmáa,make way
darịmáa,go away
darịmáa,get away
dasẹ́ẹ,halt
dasẹ́maá,resist
dasẹ́maá,resistance
dasẹ́maḅọ́,rebel
dawọ́,learn
dawọḅọ́,scholar
dáwọ́,dream
dáwọ́ḅọ́,dreamer
dede,morning
dedebíē,early morning
dee,husband
deeḅọ,husband
dẹ,erect
dẹ́ẹ̄,drive
dẹ́ẹ̄sií,banishment
dẹ́ẹ̄ sú,drive in
dẹ́ẹ̄,place
dẹ́ẹ́rẹ́ẹ,consecration
dẹrẹsọ́ḅọ́ọ,consecrator
ḍẹghẹresọḅọ,consecrated
dẹrẹsúāḅọ́,consecrated
dẹ́ghẹ́dẹ́ghẹ́,finely ground
dẹ́ghẹ́dẹ́ghẹ́,powdered
dẹ́kị,storey
dẹ́kị,deck
dẹrị́,sell
dẹrị́,betray
dẹrịḅọ́,seller
dẹrịḅọ́,vendor
dẹrịnyẹ́,vendible
dẹrị́,laugh
dẹrịnyẹ́,something
dié,teach
dié,show
dié,present
diekirí,share
dienyẹ́,doctrine
diepágháma,proof
diépịrịnyé,donation
diépịrịnyé,present
diépịrịnyé,gift
dighí,look
dighí,expect
dighiḅọ́,spectator
dighiḅọ́,inspector
dighiḅụ́jirí,mercy
dighidighiḅọ́,caretaker
díghí,rope
díghí,cord
díghī,carry
díghīnyé,load
díghīnyé,burden
dighidighíi,goodbye
dii fị́nịị́,keep
dii fị́nịị́,be
dímaá,make
dii,peace
dii,calmness
dii,tranquillity
dii,peacefulness
dii,meekness
dii,mildness
diímíéḅọ́,peacemaker
díí,night
díógbó,midnight
díkọ́,pintail
dím,oilpalm
dímḅara,palmfrond
dím-iru,palmwine
dím-mgbọlụ,palmfruit
dím-osu,bunch
dím-pulo,palmoil
dím sịị,palmtree
dimá,change
dimá,exchange
dínọngụ,waves
dínọngụ,billows
dínyẹ̄,load
dipí,plant
dipí,sow
dipí,bury
dipinyẹ́,crop
dipinyẹ́,seed
dírí,leaf
dírí,tobacco
dírí,medicine
dírí,book
dírí,letter
dírídáwọ́wárị̄,school
dírígị́ẹ́ḅọ́,clerk
dírígị́ẹ́nyẹ́,paper
dírígị́ẹ́wárị̄,office
dírínímí,book knowledge
dị́á,trap
dị́á,snare
dị́á,arrow
doná,meet
doná,join
dónwí,ringworm
dórī,weave
dórīḅọ́,weaver
dosí,jump
dọghụ́,seek
dọghụ́,want
dọghụnyẹ́,what
dọghụnyẹ́,want
dọghụnyẹ́,need
dọghụnyẹ́,desire
dọghụ́,paddle
dọ́ghụ̄,burn
dọnị́i,shea
dụ́rọ́,barracuda
dọwụdọwụ́,small
dọwụdọwụ́,little
dọwụdọwụnyẹ́,little things
dọwụdọwụnyẹ́,small things
dọwụdọwụnyẹ́,irrelevant things
dúámaḅọ́,next person
dughó,tell
dughó,speak
dughó,say
dughó,talk
dughodughoḅọ́,informant
dughopị́ghị̄,contradiction
dughopị́ghị̄,contradictory
dughópịrịnyẹ́,information
dughopụ̣́nụ́maḅọ́,prosecutor
dughosárámaḅọ́,proclaimer
dughosímaá,defamation
dúmā,live
dúmā,be alive
dúmā,life
dúpú,grave
dúpúyọ́,graveyard
duú,hare
dúu,inheritance
dúū,scoop
dúū,draw
dúū,fetch
dụ́ā,save
dụ́āḅọ́,saviour
dụ́áḅọ́rọ́maá,salvation
dụ́āpághámaḅọ́,deliverer
dụ́á,corpse
dụ́á,spirit
dụ́á,ghost
dụ́áámáa,underworld
dụ́áámáḅọ,spirit
dụ́áámáḅọ,ghost
dụ́ábíe,ancestral shrine
dụ́ádípíyọ́,cemetery
dụa,farm
dụadipí,farming
dụadipiḅọ́,farmer
dụakirí,farmland
dụ́kọ,chewingstick
dụghụmá,forbid
dụ́pọ,plank
dụrụkụ́,make
dụrụkụ́,rejoice
dụ́wā,follow
dụ́wáḅọ́,follower
ébébé,slight
ebezi,ocean
ebeji,ocean
ebirisuo,stormcloud
ebirisuo,stormy
ẹ́gbẹ,hammerkop
egberi,story
egberi,dialogue
egberi,drama
egberi,trick
ékéré,slit-gong
ékéréfáríílíla,veranda for ékéré 
elémụmọ,river bank
élépé,trick
elésiá,pigeon
elésiri,desert
éné,day
éné gbọ́rụ,every day
éné gbọ́rụ,daily
énéḅáa,daylight
énéḅáa,midday
énéḅáa,afternoon
énéḅábíri,afternoon
énéḅāénéḅāéné,every day
énéfíényẹ,rumour
énéḅásogbogbo,noon
énéḅásogbogbo,midday
énékị́ẹ́nyẹ́,clock
énékị́ẹ́nyẹ́,calendar
énénénéḅụ,day by day
énéné,day by day
peépeé,Kittlitz's Sand Plover
épe,Kittlitz's Sand Plover
epekelepé ēpé,swallow
epekelepé ēpé,swift
epele,lie
epeletiḅọ́,liar
epeletiḅọ́,untruthful
epepé,indirect sunlight
ẹrẹ,woman
ẹrẹ,female
ẹrẹawọ,young ladies
ẹrẹdọ́wụ́ḅọ́,womaniser
ẹrẹyímá,midwifery
éséníé,nine
ẹ́bẹ́,alter
ẹ́bẹ́,shelf
ẹbẹkíngi,dagger
ẹlẹ,bow
ẹbẹtụndụ,high
ẹbị,watch
ẹ́bị́rị́,smart
ẹ́bị́rị́,smartness
ẹ́bị́rị́ḅọ́,smart person
ẹ́fẹ́fẹ́rẹ́,scales
ẹfẹ́ngụ̄,fan
ẹ́fẹ́rẹ́,plate
ẹ́fẹ́rẹ́,zinc
ẹgbẹgbẹ,monkey trap
ẹgẹrẹbịtẹ,wrapper type
ẹgẹnẹmingi,very high-tide
ẹgẹrẹ́,bowlegs
ẹ́gẹ́rẹ́,talk
ẹ́gẹ́rẹ́,speak
ẹ́gẹ́rẹ́,word
ẹ́gẹ́rẹ́bị́pị́,language
ẹ́gụ́ẹ́,beans
ẹkakalịḅa,crack
ẹkakalịḅa,fracture
ẹkakalịḅa,fissure
ẹ́kẹ́tọ́ ,economy
ẹkẹḅẹ,cramp
ẹ́kẹ́kẹ́,clay frying pot
ẹ́kẹ́maá,filter
ẹ́kẹ́maá,strain
ẹ́kẹ́maá,skim
ẹ́kẹ́manyẹ́,sieve
ẹ́kẹ́manyẹ́,sifter
ẹkẹmẹkẹ,be dumbfounded
ẹ́kẹ́ngẹ́,fiddler
ẹ́kẹrẹ́ẹ,trap
ẹ́kẹ́tọ́,economize
ẹkpẹ,hegoat
ẹkpẹ,promiscuous person
ẹ́kpẹ́dụ́á,devil
ẹkụe,spoon
ẹlẹ,mullet
ẹlẹgbẹ,cock
ẹ́lẹlẹ́ndẹ,orange
ẹ́lẹlẹ́ndẹ,green
ẹmẹ,semen
ẹmẹẹ́,dive
ẹ́nwẹ́,take effect
ẹ́nwẹ́,asthma
ẹ́nwẹ́,consumption
ẹnwẹnẹ,spherical
